249905.jpg,249905,00000-EBP09-10447.jpg,2,3,元画像なし,EBP09-35481A.eps,slide_780_460_UT70501_クスコ市街,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,f.abe,阿部,2015-12-11,,2015-12-11
249908.jpg,249908,00000-EBP10-04540.jpg,2,3,元画像なし,EBP10-14247A.eps,slide_780_460_UT70501_ナスカ,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,f.abe,阿部,2015-12-11,,2015-12-11
249912.jpg,249912,00000-EBP13-00010.jpg,2,3,元画像なし,EBP13-86927A.eps,slide_780_460_UT70501_イグアスの滝,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,f.abe,阿部,2015-12-11,,2015-12-11
249913.jpg,249913,00000-EBP14-00008.jpg,2,3,元画像なし,EBP14-46136A.eps,slide_780_460_UT70501_マチュピチュ,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,f.abe,阿部,2015-12-11,,2015-12-11
249915.jpg,249915,00000-EBP14-00009.jpg,2,3,元画像なし,EBP14-46865A.eps,slide_780_460_UT70501_マラスの塩田,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,f.abe,阿部,2015-12-11,,2015-12-11
250075.jpg,250075,00000-EBP09-10448.jpg,2,3,元画像なし,EBP09-47256A.eps,slide_780_460_UT70501_動画サムネイル,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,f.abe,阿部,2015-12-11,,2015-12-11
250099.jpg,250099,00000-EBP15-00001.jpg,2,3,元画像なし,EBP15-42729A,slide_780_460_UT70501_ブエノスアイレス　5月広場,スライド、バナー、＜全日空（ANA）ビジネスクラス利用(羽田-ロサンゼルス間)＞羽田発着！ゆったり巡る　新南米世界遺産紀行１３日間、UT70501、ペルー、関東発、http://www.hankyu-travel.com/tour/detail_i.php?p_course_id=UT70501&p_hei=10、Z420970,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業三部 海外営業一課 二係,松谷 彰子様,admin,BUD管理者,admin,BUD管理者,2015-12-14,,2015-12-14
250731.jpg,250731,00140-webbn-16164.jpg,2,3,元画像なし,EAM15-63780A,slide_780_460_E757JH_ユングフラウ,EAM15-63780A.jpg,-1,-1,2015-12-17,2016-12-31,shitei,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-17,,2015-12-17
250734.jpg,250734,00140-webbn-16167.jpg,2,3,元画像なし,EBP07-05013A,slide_780_460_E757JH_モンサンミッシェル,EBP07-05013A,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-17,,2015-12-17
250736.jpg,250736,00140-webbn-16173.jpg,2,3,元画像なし,EBP13-23101C,slide_780_460_E757JH_ハイデルベルク城,EBP13-23101C,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-17,,2015-12-17
250738.jpg,250738,00140-webbn-16169.jpg,2,3,元画像なし,EBP12-40307A,slide_780_460_E757JH_ヴェルサイユ宮殿,EBP12-40307A,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-17,,2015-12-17
250739.jpg,250739,00140-webbn-16170.jpg,2,3,元画像なし,BP07-06865,slide_780_460_E757JH_ルーブル美術館,BP07-06865,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-17,,2015-12-17
250741.jpg,250741,00140-webbn-16172.jpg,2,3,元画像なし,SP11-51602,slide_780_460_E757JH__アイガー氷河,SP11-51602,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-17,,2015-12-17
251014.jpg,251014,00140-EBP10-04542.jpg,2,3,元画像なし,EBP10-13843A,slide_780_460_E757JH__動画サムネイル,EBP10-13843A,-1,-1,2000-01-01,2100-01-01,mukigen,2,バド制作,1,,,,0,,メディア営業二部 海外営業一課二係,黒田　亮（KURODA RYO）様,b-y.tabata,田端弥生,f.abe,阿部,2015-12-21,,2015-12-18
